Day,Language Classwork,Lanugage Wordly Wise,Language Spelling,Language Seatwork,Chemistry Textbook,Chemistry Worksheets,Chemistry Videos,PsySo - VIDEO,PsyS0 Summaries,Computer BFN,Computer videos,Geometry Textbook,Geometry WORKBOOK,"Geometry 1,001 Problems",Geometry BFN,Geometry VIDEOS,Emma Math
30,Linking and helping verbs - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 26,,OEC 2.1,"https://youtu.be/Y0048AI5uEQ, https://youtu.be/h1tflE-L2Dc, https://youtu.be/P3ABix1LJAI",TEST 3,,47-51,CCCS #19 - Memory and Storage - https://youtu.be/TQCr9RV7twk,96 mid - 106,,,,https://youtu.be/KUhdMbx5ges,Today's Worksheets
31,Irregular verbs - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 04,,,Review for Test on Unit 3,https://youtu.be/s9shPouRWCs,,52-55,CCCS #20 - Files and File Systems - https://youtu.be/KN8YgJnShPM,,51-54,,120-128,https://youtu.be/q7vI2oXL0gQ,Today's Worksheets
32,"Verb aspect - simple, progressive, and perfect - https://www.khanacademy.org/humanities/grammar","Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Unit 3,https://youtu.be/9hdSLiHaJz8,,57-60,CCCS #14 - Data Structures - https://youtu.be/DuDz6B4cqVc,107-113 mid,,,,https://youtu.be/Qwet4cIpnCM,Today's Worksheets
33,Verb aspect and modal verbs - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 27,,,Test: Unit 3,,PsyText: Chapter 10 Summary (pp 383-388),61-66,,,,31-34 top,,https://youtu.be/A-X6owHsxfs,Today's Worksheets
34,Intro to pronouns - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 02,,"Worksheet 11, page 1",https://youtu.be/0RRVV4Diomg,https://youtu.be/8nz2dtv--ok,,,CCCS #21 - Compression - https://youtu.be/OtDxDvCpPL4,,,34 top - 36,,https://youtu.be/meCS5N_ByqA,Today's Worksheets
35,Possessive and reflexive pronouns - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 30 and 32,,"Worksheet 11, page 2-3",https://youtu.be/IFKnq9QM6_A,https://youtu.be/YcQg1EshfIE,,,Unit 2 Test Review and CCCS #15 - Alan Turing - https://youtu.be/7TycxwFmdB0,,,37 - 40,,https://youtu.be/jXczCSpWqdg,Today's Worksheets
36,Relative pronouns - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 31,136-141,"Worksheet 11, page 4",https://youtu.be/jQGUkJc7_04,https://youtu.be/PzyXGUCngoU,,,Unit 2 Test Review,113 mid - 123,,,,,Today's Worksheets
37,"Subject, object, person, and number - https://www.khanacademy.org/humanities/grammar","Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk 34,142-143,"Worksheet 12, page 5",https://youtu.be/zTUnjPALX_U,,Review notes from videos and book.,,TEST 3,,55-57,,,https://youtu.be/svWYgZs33bA,Today's Worksheets
38,"Indefinite pronouns, pronoun vagueness - https://www.khanacademy.org/humanities/grammar","Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 33,144-150,OEC 2.2,https://youtu.be/ShC3VoxxW3g,REVIEW FOR NEXT TEST,,68-72 (all),,,,7,163-176,https://youtu.be/SyzkgBjXtIss,Today's Worksheets
39,Intro to adjectives and articles - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 05,,Worksheet 25,Review for Test on Chapter 11,REVIEW FOR TEST TOMORROW,,73-77,,,58-59 mid,,,https://youtu.be/GiGLhXFBtRg,Today's Worksheets
40,Intro to adverbs - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 06,,,Review for Test on Chapter 11,TEST 4,,78-80,,,59 mid - 63,,,https://youtu.be/EZ4rHobpDOA,Today's Worksheets
41,Adjective order and commas with adjectives - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 44,,,Test: Chapter 11,https://youtu.be/mUELAiHbCxc,,81-84,,,,8-9,,,Today's Worksheets
42,"Comparative, Intensifiers, Superlatives, and Adverbs of degree - https://www.khanacademy.org/humanities/grammar","Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,151-155,,https://youtu.be/_x6e4_ItfLI,https://youtu.be/sUrV6oZ3zsk,,86-88,,,,41-44 mid,,https://youtu.be/RmECJRogR-4,Today's Worksheets
43,Intro to prepositions - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 07,156-160 mid,,https://youtu.be/wsvobkEFdEc,,PsyText: Chapter 11 Summary (pp 423-429),89-92,,,,44 mid - 45,,https://youtu.be/p52H7YcoDO8,Today's Worksheets
44,Types of prepositions and phrases - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 13,160 mid - 164 bot,Worksheet 14,https://youtu.be/4Url0pjbcuU,https://youtu.be/9xTz3QjcloI,,93-96,,,,46 - 48,,https://youtu.be/nWL3dBNXwGA,Today's Worksheets
45,Introduction to conjunctions - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 08,164 bot - 167 top,,https://youtu.be/5CBs36jtZxY,https://youtu.be/75g4d5sF3xI,,97-100,,,64-67 mid,,355 - 362,https://youtu.be/AA6RfgP-AHU,Today's Worksheets
46,Correlative conjunctions - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,167 top - 171,OEC 2.3,https://youtu.be/vo94WetKyFA,https://youtu.be/gAMbkJk6gnE,,101-103,,,,59-62 top,,https://youtu.be/d8EA5TxGzcY,Today's Worksheets
47,Intro to commas - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 46-47,,Worksheet 10,https://youtu.be/0h8q1GIQ-H4,https://youtu.be/4KbSRXP0wik,,105-108,,,67 mid - 70 mid,,,https://youtu.be/4mQQW7gvEok,Today's Worksheets
48,Commas in space and time - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 43,172-174 mid,,https://youtu.be/rcKilE9CdaA,,PsyText: Chapter 14 Summary (pp 566-572),,Unit 3 Test Review,,70 mid - 73,,,https://youtu.be/xzMirNSv1d0,Today's Worksheets
49,More ways to use commas - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 45,174 mid - 178,,https://youtu.be/p1i_f5hj-gs and https://youtu.be/dgqHFpP1w2k,https://youtu.be/Qymp_VaFo9M,,,Unit 3 Test Review,125-133 top,,,279 - 284,,Today's Worksheets
50,Apostrophes and contractions - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 51,,Worksheet 15,https://youtu.be/cPDptc0wUYI,,Review notes from videos and book.,,TEST 4,,,,139 - 152,https://youtu.be/_MhLzwjiGOM,Today's Worksheets
51,Intro to the possessive - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapter 12-13,REVIEW FOR NEXT TEST,,110-114,CCCS #13 - Algorithms - https://youtu.be/rL8X2mlNHPM,,83 - 88,,,https://youtu.be/CJrVOf_3dN0,Today's Worksheets
52,Its vs It's - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,,,Review for Test on Chapter 12-13,REVIEW FOR TEST TOMORROW,,115-120,CCCS #10 - Early Programming - https://youtu.be/nwDq4adJwzM,,,,153 - 162,https://youtu.be/vGuiy7NnJlM,Today's Worksheets
53,Intro to colons - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 41,,,Test: Chapter 12-13,TEST 5,,121-125,CCCS #11 - First Programming Languages - https://youtu.be/RU1u-js7db8,133 top - 136,89 - 92,,,https://youtu.be/PZZG-avhciU,Today's Worksheets
54,Intro to semicolons - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 42,180-182 bot,OEC 3.1,https://youtu.be/QXT4OVM4vXI,https://youtu.be/wuhJ-GkRRQc,,126-129,,,,10-11,,,Today's Worksheets
55,Formatting styles - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,182 bot - 192 bot,OEC 3.4,https://youtu.be/Qf07-8Jhhpc,https://youtu.be/aX7jnVXXG5o,,130-133,CCCS #4 - Representing in Binary - https://youtu.be/1GSjbWt0c9M,,,62 top - 64 mid,,https://youtu.be/nAplKA58dtA,Today's Worksheets
56,"Hyphens, dashes, and ellipses - https://www.khanacademy.org/humanities/grammar","Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 48 and 52,192 bot - 197 mid,OEC 3.2 / Worksheet 27,https://youtu.be/RK07Bwwxkjg,https://youtu.be/ZwMlHkWKDwM,,134-138,,,,64 mid - 66,,https://youtu.be/RnqQWs4P20U,Today's Worksheets
57,Intro to sentences - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,,195 mid - 203,OEC 3.3,https://youtu.be/g2toQA6JLQQ,,PsyText: Chapter 15 Summary (pp 628-637),139-141 bot,CCCS #34 - Machine Learning and Artificial Intelligence - https://youtu.be/z-EtmaFJieY,137-139 mid,93 - 95,,,https://youtu.be/AzJs36FqkGU,Today's Worksheets
58,Types of sentences - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 22,,OEC 3.5,https://youtu.be/Tkb1OemB2KI,,PsyText: Chapter 15 Summary (pp 628-637),141 bot-144,CCCS #35 - Computer Vision - https://youtu.be/-4E2-0sxVUM,139 mid - 143 mid,96 - 99 mid,,,https://youtu.be/6saYBeHzArE,Today's Worksheets
59,Subjects and predicates - https://www.khanacademy.org/humanities/grammar,"Wordly Wise: Study your word list, and do your next WW exercise.",Write spelling AND spell words aloud from memory,Wkbk Pg 09,,OEC 3.6 / Worksheet 28,Review for Test on Chapter 14,https://youtu.be/343ORgL3kIc,,,Chapter Questions AND CCCS #36 - Natural Language Processing - https://youtu.be/fOvTtapxa9c,143 mid - 151,,,,https://youtu.be/cptjsGKAtFE ,Today's Worksheets
